id,user_id,mbti_type,test_date
83,83,INFJ,2026-06-16 05:38:25.727976
84,84,INTJ,2026-06-16 05:38:25.737581
85,85,INTJ,2026-06-16 05:38:25.747213
86,86,ESTJ,2026-06-16 05:38:25.76169
87,87,INFJ,2026-06-16 05:38:25.774231
88,88,INFP,2026-06-16 05:38:25.782719
89,89,INTP,2026-06-16 05:38:25.79074
90,90,INFJ,2026-06-16 05:38:25.806508
91,91,ENTJ,2026-06-16 05:38:25.81209
92,92,INFJ,2026-06-16 05:38:25.825363
93,93,ISFP,2026-06-16 05:38:25.833035
94,94,ESTP,2026-06-16 05:38:25.838614
95,95,ENFP,2026-06-16 05:38:25.846878
96,96,ESFJ,2026-06-16 05:38:25.854955
97,97,ESFJ,2026-06-16 05:38:25.864713
98,98,INTJ,2026-06-16 05:38:25.878347
99,99,ISFP,2026-06-16 05:38:25.882937
100,100,ISFP,2026-06-16 05:38:25.896165
101,101,ESTJ,2026-06-16 05:38:25.899514
102,102,ISFP,2026-06-16 05:38:25.912782
103,103,ENFJ,2026-06-16 05:38:25.916217
104,104,ENFJ,2026-06-16 05:38:25.928546
105,105,INTP,2026-06-16 05:38:25.941966
106,106,ENTP,2026-06-16 05:38:25.951689
107,107,ISFP,2026-06-16 05:38:25.959996
108,108,ENTP,2026-06-16 05:38:25.97101
109,109,ENTJ,2026-06-16 05:38:25.978647
110,110,ENTP,2026-06-16 05:38:25.986955
111,111,ENTJ,2026-06-16 05:38:25.996945
112,112,INFJ,2026-06-16 05:38:26.004201
113,113,INTP,2026-06-16 05:38:26.014007
114,114,INTP,2026-06-16 05:38:26.023688
115,115,ESFJ,2026-06-16 05:38:26.029857
116,116,ENFP,2026-06-16 05:38:26.041249
117,117,ISFP,2026-06-16 05:38:26.047879
118,118,ESTJ,2026-06-16 05:38:26.059383
119,119,INTJ,2026-06-16 05:38:26.067561
120,120,INFP,2026-06-16 05:38:26.073802
121,121,ESFP,2026-06-16 05:38:26.085603
122,122,ISFJ,2026-06-16 05:38:26.091853
123,123,ESTP,2026-06-16 05:38:26.103336
124,124,ESTJ,2026-06-16 05:38:26.103336
125,125,INFP,2026-06-16 05:38:26.119875
126,126,ENFP,2026-06-16 05:38:26.119875
127,127,ENTP,2026-06-16 05:38:26.136563
128,128,INTJ,2026-06-16 05:38:26.146155
129,129,ESFP,2026-06-16 05:38:26.153331
130,130,INTP,2026-06-16 05:38:26.165218
131,131,ENTJ,2026-06-16 05:38:26.175103
132,132,ENTP,2026-06-16 05:38:26.187515
133,133,ISTJ,2026-06-16 05:38:26.195189
134,134,ISTP,2026-06-16 05:38:26.204414
135,135,ENFP,2026-06-16 05:38:26.213137
136,136,INTP,2026-06-16 05:38:26.220006
137,137,ESFP,2026-06-16 05:38:26.232484
138,138,ESTP,2026-06-16 05:38:26.236916
139,139,ENTP,2026-06-16 05:38:26.253286
140,140,ESTP,2026-06-16 05:38:26.257835
141,141,INFJ,2026-06-16 05:38:26.271232
142,142,INTP,2026-06-16 05:38:26.279506
143,143,INTP,2026-06-16 05:38:26.286441
144,144,ENTP,2026-06-16 05:38:26.29705
145,145,ISTJ,2026-06-16 05:38:26.302989
146,146,ISTP,2026-06-16 05:38:26.312767
147,147,ENFP,2026-06-16 05:38:26.321003
148,148,ESTP,2026-06-16 05:38:26.329506
149,149,ISTJ,2026-06-16 05:38:26.336464
150,150,ENTP,2026-06-16 05:38:26.346226
151,151,INFP,2026-06-16 05:38:26.352835
152,152,ENTJ,2026-06-16 05:38:26.362042
153,153,ISTJ,2026-06-16 05:38:26.368908
154,154,ESTJ,2026-06-16 05:38:26.378599
155,155,INFJ,2026-06-16 05:38:26.385249
156,156,ENTP,2026-06-16 05:38:26.397722
157,157,ISFJ,2026-06-16 05:38:26.397722
158,158,ISTP,2026-06-16 05:38:26.414251
159,159,ESFP,2026-06-16 05:38:26.423768
160,160,ENFJ,2026-06-16 05:38:26.432116
161,161,ENTJ,2026-06-16 05:38:26.432116
162,162,INFP,2026-06-16 05:38:26.450929
163,163,ESTP,2026-06-16 05:38:26.452387
164,164,ESTJ,2026-06-16 05:38:26.46809
165,165,INTP,2026-06-16 05:38:26.477048
166,166,ISTP,2026-06-16 05:38:26.485029
167,167,ESTJ,2026-06-16 05:38:26.49408
168,168,ENTP,2026-06-16 05:38:26.502712
169,169,ESTJ,2026-06-16 05:38:26.512073
170,170,ISTJ,2026-06-16 05:38:26.520165
171,171,ISTJ,2026-06-16 05:38:26.531945
172,172,ESTJ,2026-06-16 05:38:26.545373
173,173,ENTJ,2026-06-16 05:38:26.55344
174,174,ENFJ,2026-06-16 05:38:26.564121
175,175,ISFP,2026-06-16 05:38:26.577784
176,176,ENFP,2026-06-16 05:38:26.586376
177,177,ENFJ,2026-06-16 05:38:26.60357
178,178,INTP,2026-06-16 05:38:26.61158
179,179,ISTJ,2026-06-16 05:38:26.619754
180,180,ISTJ,2026-06-16 05:38:26.630639
181,181,ESFP,2026-06-16 05:38:26.643094
182,182,ESFJ,2026-06-16 05:38:26.655345
183,183,ENFJ,2026-06-16 05:38:26.664358
184,184,ESFP,2026-06-16 05:38:26.678245
185,185,ESTP,2026-06-16 05:38:26.679889
186,186,ESTJ,2026-06-16 05:38:26.697674
187,187,ISTJ,2026-06-16 05:38:26.710998
188,188,ENTP,2026-06-16 05:38:26.720511
189,189,ESFJ,2026-06-16 05:38:26.729713
190,190,INTP,2026-06-16 05:38:26.743938
191,191,ISTP,2026-06-16 05:38:26.752889
192,192,ESFP,2026-06-16 05:38:26.767427
193,193,ENFJ,2026-06-16 05:38:26.774935
194,194,INFP,2026-06-16 05:38:26.783199
195,195,ESFP,2026-06-16 05:38:26.794875
196,196,INTJ,2026-06-16 05:38:26.799628
197,197,INFP,2026-06-16 05:38:26.809911
198,198,ENFJ,2026-06-16 05:38:26.817015
199,199,INTJ,2026-06-16 05:38:26.830081
200,200,ISFJ,2026-06-16 05:38:26.838975
201,201,INTJ,2026-06-16 05:38:26.8466
202,202,ISFJ,2026-06-16 05:38:26.857952
203,203,INTP,2026-06-16 05:38:26.863119
204,204,ENTP,2026-06-16 05:38:26.863119
205,205,INFJ,2026-06-16 05:38:26.883842
206,206,ISFJ,2026-06-16 05:38:26.892571
207,207,ISFP,2026-06-16 05:38:26.900789
208,208,ISTJ,2026-06-16 05:38:26.910247
209,209,ESFP,2026-06-16 05:38:26.918284
210,210,ENFJ,2026-06-16 05:38:26.927104
211,211,INFJ,2026-06-16 05:38:26.935567
212,212,ESTP,2026-06-16 05:38:26.944886
213,213,INFP,2026-06-16 05:38:26.953338
214,214,ENFP,2026-06-16 05:38:26.961489
215,215,ISFP,2026-06-16 05:38:26.969602
216,216,INTP,2026-06-16 05:38:26.982242
217,217,ENTP,2026-06-16 05:38:26.98625
218,218,ENTJ,2026-06-16 05:38:27.000442
219,219,ESFJ,2026-06-16 05:38:27.010298
220,220,INTJ,2026-06-16 05:38:27.018767
221,221,ISTP,2026-06-16 05:38:27.02813
222,222,ESFJ,2026-06-16 05:38:27.036252
223,223,ENTJ,2026-06-16 05:38:27.044796
224,224,INFJ,2026-06-16 05:38:27.053234
225,225,ESTP,2026-06-16 05:38:27.061529
226,226,ESFP,2026-06-16 05:38:27.069623
227,227,ISFP,2026-06-16 05:38:27.082041
228,228,ENTP,2026-06-16 05:38:27.08644
229,229,INTP,2026-06-16 05:38:27.100958
230,230,ENFP,2026-06-16 05:38:27.105321
231,231,INFJ,2026-06-16 05:38:27.121334
232,232,INFJ,2026-06-16 05:38:27.122725
233,233,ENTJ,2026-06-16 05:38:27.137225
234,234,ENTJ,2026-06-16 05:38:27.148956
235,235,ENTP,2026-06-16 05:38:27.148956
236,236,ISFP,2026-06-16 05:38:27.169417
237,237,INTJ,2026-06-16 05:38:27.178137
238,238,ESTJ,2026-06-16 05:38:27.186321
239,239,ESTJ,2026-06-16 05:38:27.194817
240,240,INFP,2026-06-16 05:38:27.202853
241,241,INTP,2026-06-16 05:38:27.211469
242,242,ESTP,2026-06-16 05:38:27.222599
243,243,ENTJ,2026-06-16 05:38:27.23503
244,244,ENTP,2026-06-16 05:38:27.247887
245,245,ESFP,2026-06-16 05:38:27.261018
246,246,ENTJ,2026-06-16 05:38:27.269534
247,247,ENFP,2026-06-16 05:38:27.278088
248,248,INTJ,2026-06-16 05:38:27.292891
249,249,INTP,2026-06-16 05:38:27.303273
250,250,ISTP,2026-06-16 05:38:27.312824
251,251,ENTP,2026-06-16 05:38:27.325485
252,252,ENFJ,2026-06-16 05:38:27.334051
253,253,INTP,2026-06-16 05:38:27.344762
254,254,ISFJ,2026-06-16 05:38:27.353283
255,255,ESFJ,2026-06-16 05:38:27.362327
256,256,ISTP,2026-06-16 05:38:27.369697
257,257,ESTP,2026-06-16 05:38:27.381671
258,258,ESTP,2026-06-16 05:38:27.38885
259,259,ISFJ,2026-06-16 05:38:27.39646
260,260,ESFP,2026-06-16 05:38:27.411419
261,261,ENFJ,2026-06-16 05:38:27.419639
262,262,ESFP,2026-06-16 05:38:27.428107
263,263,ESTJ,2026-06-16 05:38:27.436653
264,264,ESTP,2026-06-16 05:38:27.444777
265,265,ISTP,2026-06-16 05:38:27.452865
266,266,ESFP,2026-06-16 05:38:27.461429
267,267,ESFJ,2026-06-16 05:38:27.469556
268,268,ESFP,2026-06-16 05:38:27.478087
269,269,ISTP,2026-06-16 05:38:27.486115
270,270,ENFP,2026-06-16 05:38:27.494741
271,271,ENTP,2026-06-16 05:38:27.503022
272,272,INFJ,2026-06-16 05:38:27.508137
273,273,INTP,2026-06-16 05:38:27.519458
274,274,ISTP,2026-06-16 05:38:27.528895
275,275,ESFJ,2026-06-16 05:38:27.536478
276,276,ISTP,2026-06-16 05:38:27.544743
277,277,ESTP,2026-06-16 05:38:27.552841
278,278,ENTP,2026-06-16 05:38:27.561403
279,279,ISFJ,2026-06-16 05:38:27.56957
280,280,INFJ,2026-06-16 05:38:27.580904
281,281,INTP,2026-06-16 05:38:27.591576
282,282,ENFJ,2026-06-16 05:38:27.598746
283,283,ESFJ,2026-06-16 05:38:27.602991
284,284,ENTJ,2026-06-16 05:38:27.615093
285,285,ISFJ,2026-06-16 05:38:27.6196
286,286,ESTJ,2026-06-16 05:38:27.633456
287,287,ESFP,2026-06-16 05:38:27.63815
288,288,ISTP,2026-06-16 05:38:27.64642
289,289,ESTP,2026-06-16 05:38:27.652423
290,290,INFJ,2026-06-16 05:38:27.668679
291,291,ENTJ,2026-06-16 05:38:27.668679
292,292,ESTP,2026-06-16 05:38:27.682979
293,293,ENTP,2026-06-16 05:38:27.685485
294,294,ISTP,2026-06-16 05:38:27.69639
295,295,ESTP,2026-06-16 05:38:27.701559
296,296,ESTP,2026-06-16 05:38:27.713095
297,297,ESTJ,2026-06-16 05:38:27.718011
298,298,ESFP,2026-06-16 05:38:27.729775
299,299,ENFJ,2026-06-16 05:38:27.737705
300,300,INTJ,2026-06-16 05:38:27.746373
